No,Nomor Kendaraan,Bulan Kadaluarsa,Tahun Kadaluarsa
245,E 6941 PAP,08,22
246,E 5905 QO,12,19
247,E 2148 RI,01,16
248,E 4212 SS,01,21
249,E 3507 TS,12,17
250,E 6031 ST,03,21
251,E 3008 SM,05,20
252,E 2113 PAG,09,21
253,E 2212 TZ,07,18
254,E 4739 TA,01,14
255,E 6527 OD,02,20
256,E 4572 SS,01,16
257,E 4553 QT,06,20
258,E 2895 NB,10,13
259,E 3154 QO,11,19
260,E 4250 SU,04,21
261,E 4991 TP,09,17
262,E 3465 SL,02,20
263,E 6631 TO,08,21
264,E 2458 SV,05,16
265,E 3984 TZ,07,21
266,E 4299 SZ,09,21
267,E 2747 TS,12,17
268,E 6752 SN,04,18
269,E 2101 TJ,02,22
270,E 2891 TT,01,18
271,E 2381 PAH,10,21
272,E 1677 PE,02,21
273,E 6078 RM,09,22
274,E 4558 SH,08,18
275,E 4986 SO,10,20
276,E 2810 PAD,05,21
277,E 6802 PAH,11,21
278,E 4568 TCK,12,17
279,E 3405 S,11,20
280,E 4813 PL,04,20
281,E 5503 TI,02,20
282,E 5519 PAK,03,22
283,E 2870 QAA,10,22
284,E 5676 TD,02,18
285,E 5515 QT,06,20
286,E 5817 PT,04,18
287,E 6272 PAJ,02,22
288,E 2747 QQ,01,20
289,E 6810 TX,06,18
290,E 2157 PAO,06,22
291,E 3496 RW,04,19
292,E 4890 QE,01,19
293,E 2509 OW,09,20
294,E 2381 QAA,10,22
295,E 6919 TM,06,17
296,E 5098 RA,00,00
297,E 1169 PY,05,20
298,E 5944 TK,04,22
299,E 5051 SD,03,18
300,E 5105 OD,12,21
301,E 6893 PAD,06,21
302,E 3922 OI,05,19
303,E 6888 SC,11,21
304,E 5381 PAB,03,21
305,E 4964 SN,07,20
306,E 3270 SJ,08,22
307,E 4238 QC,11,18
308,E 5024 SO,09,20
309,E 6140 OX,11,20
310,E 6193 QF,02,10
311,E 3593 TF,10,19
312,E 3212 OL,08,19
313,E 5971 TO,08,22
314,E 3016 SB,10,18
315,E 6091 TV,04,18
316,E 4895 OL,09,19
317,E 5064 SE,05,19
318,E 5827 QT,06,20
319,E 3547 RR,06,12
320,E 3796 PY,05,20
321,E 3255 TN,12,20
322,E 8767 TG,11,22
323,E 4886 TM,06,22
324,E 5854 PAP,08,22
325,E 2634 QG,03,19
326,E 3758 RW,04,18
327,E 5071 SS,01,21
328,E 1992 RN,04,22
329,E 5078 QF,02,19
330,E 5869 PAA,02,21
331,E 2843 HB,08,21
332,E 4876 Q,08,18
333,E 2247 RY,05,18
334,E 5195 PL,04,20
335,E 3405 PAH,10,21
336,E 2909 TP,12,21
337,E 3955 PAK,02,22
338,E 3851 PAI,12,21
339,E 4966 SN,07,20
340,E 4235 RP,01,22
341,E 6047 QT,07,20
342,E 2544 QD,11,18
343,E 6894 SB,11,19
344,E 6393 TZ,07,18
345,E 2047 SF,05,19
346,E 6511 QV,09,20
347,E 6765 PAD,06,21
348,E 4160TQ,10,17
349,E 4378 SG,07,19
350,E 3577 PAI,12,21
351,E 6730 RC,07,19
352,E 5053 RG,09,20
353,E 6270 SM,06,20
354,E 6250 PAJ,02,22
355,E 6547 PAF,09,21
356,E 6225 SJ,11,19
357,E 4679 PAD,06,21
358,E 3438 SJ,10,19
359,E 6270 OZ,01,21
360,E 4690 PAL,04,22
361,E 3193 PS,08,17
362,E 6525 SF,09,21
363,E 6263 RU,07,20
364,E 6528 P,11,18
